# SCOPE: Archdiocese of Detroit FY24/25 parish workbooks, all 209 parishes. Source: https://restructuring.aod.org/parish-workbooks (filecamp PDFs, published from 2026-03-04). Facts are the AOD's, cited as the AOD's; this compilation CC BY-NC 4.0. Extracted 2026-07-21. Figures FY24/25 unless noted; blanks = not stated in that workbook.
parish,city,planning_area,weekly_mass_attendance,seats_capacity,capacity_utilization_pct,registered_households,baptisms_2024,first_communions_2024,confirmations_2024,marriages_2024,funerals_2024,total_revenue_fy2425,total_expenses_fy2425,net_income_fy2425,unrestricted_savings,cash,endowments,donor_restricted,payable_loans,priests_assigned,savings_per_weekly_attendee,confidence,workbook_url
"St. James Parish, Novi",,,1332,800,42,2981,56,88,84,14,29,1564617,1614053,-49436,402207,489996,0,0,0,,302,clean,https://aod.filecamp.com/s/i/Seir0SnhlzgvsT3h
"St. Jane Frances de Chantal Parish, Sterling Heights",,,909,800,38,1399,23,8,0,2,34,950307,817920,132387,1223652,,,207595,0,,1346,clean,https://aod.filecamp.com/s/i/HClXgaxHAoiXYBDe
"St. Joan of Arc Parish, St. Clair Shores",St. Clair Shores,11,1806,1400,26,,112,61,32,4,115,4739901,4545037,194864,1556402,1556402,714511,1231385,-3933,,862,clean,https://aod.filecamp.com/s/i/w2NaOlNGmaxtJ8f8
"St. John Fisher Chapel University Parish, Auburn Hills",,,613,700,44,,8,8,5,3,4,1062464,867502,194961,437647,437647,,145054,0,,714,clean,https://aod.filecamp.com/s/i/82xUTdVZwpfFSmFz
"St. John Neumann Parish, Canton",,,1433,620,46,,21,33,27,4,41,1703005,1899828,-196823,220324,317267,0,0,0,,154,clean,https://aod.filecamp.com/s/i/ZZvCogv0Zoa2jHUW
"St. John Paul II Parish, Detroit",Detroit,3,88,1350,7,,3,0,0,0,1,250507,257210,-6703,,286707,,,0,,,clean,https://aod.filecamp.com/s/i/df9uTUb7iccgAYiZ
"St. John the Baptist Parish, Monroe",,,406,371,36,,10,7,9,0,19,519372,542805,-23433,238501,,,62769,0,,587,clean,https://aod.filecamp.com/s/i/zfD3LV4cjwut4t9m
"St. John the Evangelist Parish, Allenton",Allenton,15,355,420,28,,15,2,0,3,17,485400,363845,121555,,284678,,15618,198778,,,partial,https://aod.filecamp.com/s/i/ofaZCKJFeOAzLOWv
"St. John Vianney Parish, Shelby Township",Shelby Township,13,1408,1200,29,,123,92,97,15,65,2339670,2381663,-41992,1152666,234885,,,0,,819,partial,https://aod.filecamp.com/s/i/TXPGNSx1PrV3PbNr
"St. John XXIII Parish, Redford",,,218,296,25,,3,0,0,0,9,554017,626246,-72229,659930,722285,59972,0,0,,3027,clean,https://aod.filecamp.com/s/i/0V3PK6tD1WdiXBw4
"St. Joseph Parish, Erie",,,260,320,20,576,12,20,9,1,22,1099920,1364336,-264417,,,0,0,0,,,clean,https://aod.filecamp.com/s/i/iqzA3N6awGGcmPG4
"St. Joseph Parish, Lake Orion",,,2147,750,57,,132,162,135,35,66,6141289,7161915,-1020627,,,,333673,0,,,partial,https://aod.filecamp.com/s/i/sTqfvRL40pjKyOX0
"St. Joseph Parish, South Lyon",South Lyon,8,1258,900,35,2099,54,58,65,3,35,1405721,1427058,-21336,2307752,1928887,,,0,,1834,clean,https://aod.filecamp.com/s/i/14KOpUKEzaU8DusO
"St. Joseph Parish, Trenton",Trenton,4,634,500,42,,26,42,33,4,27,2126935,2108218,18717,,1137160,87675,,640447,,,partial,https://aod.filecamp.com/s/i/xJS4qwPKPtXre0lf
"St. Joseph Shrine & Parish, Detroit",Detroit,3,664,,25,,33,17,57,7,1,1089555,1047361,42194,228698,,,1800757,0,,344,partial,https://aod.filecamp.com/s/i/1H18AuqAGANNYNiG
"St. Juan Diego Parish, Detroit",,,427,1100,10,220,9,26,27,0,3,1212741,1032882,179858,,190610,,,81505,,,clean,https://aod.filecamp.com/s/i/EKW31JDlAhgJUzOn
"St. Justin-St. Mary Magdalen Parish, Hazel Park",,,236,400,30,,9,3,0,1,17,231111,326269,-95158,198080,198080,,33456,0,,839,clean,https://aod.filecamp.com/s/i/Mo3KDVOuvXLCoIBE
"St. Kateri Tekakwitha Parish, Dearborn",,,425,450,,,8,3,6,2,35,534241,532074,2167,177203,177203,0,0,0,,417,clean,https://aod.filecamp.com/s/i/IEDsVm610UTGNQO7
"St. Kenneth Parish, Plymouth",,,1749,775,56,2713,67,68,64,28,92,2638615,2182303,456312,2495205,,,0,0,,1427,partial,https://aod.filecamp.com/s/i/MhfAQHauvZgfXCHU
"St. Kieran Parish, Shelby Township",,,2012,800,63,,82,48,40,12,78,2653368,2291946,361422,,,217502,1882436,0,,,partial,https://aod.filecamp.com/s/i/H7qqTH3WotldPxH3
"St. Lawrence Parish, Utica",,,1280,1200,27,2447,82,132,93,12,96,9415149,8592778,822371,2789283,2789283,,179888,0,,2179,clean,https://aod.filecamp.com/s/i/d1mqoQmMaih6rfIP
"St. Linus Parish, Dearborn Heights",Dearborn Heights,6,350,600,19,742,7,9,12,0,31,933975,1076937,-142963,188815,626376,0,0,-486,,539,clean,https://aod.filecamp.com/s/i/edvtbAslV5ruD5SK
"St. Louis Parish, Clinton Township",,,388,500,26,942,16,21,10,1,22,615008,565983,49026,1220590,74393,0,0,0,,3146,clean,https://aod.filecamp.com/s/i/65JTKK8XIehsrTej
"St. Louise de Marillac Parish, Warren",,,241,736,16,629,2,0,0,0,15,397700,397423,277,117453,79937,0,0,0,,487,clean,https://aod.filecamp.com/s/i/7iEtp5kphkAQaWsJ
"St. Lucy (Croatian) Parish, Troy",Troy,9,97,350,14,,0,0,0,0,0,278750,269563,9187,409532,68655,,0,0,,4222,clean,https://aod.filecamp.com/s/i/AU1Oj2y0658DXGXQ
"St. Lucy Parish, St. Clair Shores",,,219,425,26,530,2,8,5,0,24,679488,623502,55987,529583,72322,179138,0,0,,2418,partial,https://aod.filecamp.com/s/i/zxRccXk2Ma5O6pyl
"St. Malachy Parish, Sterling Heights",Sterling Heights,12,1565,800,49,1657,45,28,21,10,45,1478723,1393068,85655,240658,240658,0,0,0,,154,partial,https://aod.filecamp.com/s/i/dClZ5mLkNGmue50v
"St. Margaret of Scotland Parish, St. Clair Shores",St. Clair Shores,11,340,800,14,2751,17,6,11,3,69,721258,809689,-88431,178553,248655,,,0,,525,partial,https://aod.filecamp.com/s/i/wcRoZrPZqo0DyjTK
"St. Maria Goretti Parish, Dearborn Heights",,,534,400,33,1368,4,5,4,1,37,561861,518032,43829,625055,158754,0,0,0,,1171,partial,https://aod.filecamp.com/s/i/MaQMD4CnSupkC9Tu
"St. Mark Parish, Warren",,,338,450,25,,1,4,6,0,26,395286,337519,57767,309984,233997,401718,3347,0,,917,partial,https://aod.filecamp.com/s/i/Z07tyBvHKrVb7RJE
"St. Martin de Porres Parish, Warren",,,423,900,16,777,6,8,6,2,46,674632,796226,-121593,112063,,0,0,0,,265,partial,https://aod.filecamp.com/s/i/l01fthRAzxncNoQP
"St. Mary Burnside Parish, North Branch",North Branch,15,170,250,68,,6,3,0,2,7,173468,166808,6661,394215,101324,0,0,0,,2319,clean,https://aod.filecamp.com/s/i/whH2OLCOgXyJupJN
"St. Mary, Cause of Our Joy Parish, Westland",,,464,800,19,,10,7,5,1,30,693642,582281,111361,71001,118298,,0,85042,,153,clean,https://aod.filecamp.com/s/i/u7HJBmItIFv2dXrD
"St. Mary (Greektown) Parish, Detroit",,,307,1000,10,347,13,3,0,35,4,1161530,1131254,30275,2598166,2698179,37074,,0,,8463,clean,https://aod.filecamp.com/s/i/DB8GVSZ9TDcGiWYY
"St. Mary Magdalen Parish, Melvindale",,,224,800,28,,6,0,0,0,11,297201,513056,-215855,1851507,1876159,,54874,0,,8266,clean,https://aod.filecamp.com/s/i/Pse3ZDnOsJZ4LGPh
"St. Mary Mystical Rose Parish, Armada",Armada,15,193,250,77,,5,16,3,3,1,341720,296687,45033,426550,,0,0,0,,2210,partial,https://aod.filecamp.com/s/i/heN2uFDD4YQcDJ7b
"St. Mary of Redford Parish, Detroit",,,130,850,15,217,7,0,2,5,5,420948,490417,-69469,72865,40437,0,0,0,,561,clean,https://aod.filecamp.com/s/i/xPdvE7vSuinQqAPg
"St. Mary of the Hills Parish, Rochester Hills",Rochester Hills,10,992,900,37,1767,43,93,62,9,43,1992557,1855701,136856,1537750,172392,,11128,0,,1550,clean,https://aod.filecamp.com/s/i/0Sfv4yKMb1uuI2U5
"St. Mary, Our Lady of the Annunciation Parish, Rockwood",Rockwood,4,631,350,60,,21,19,25,7,23,984051,642954,341097,1526575,280501,0,0,0,,2419,clean,https://aod.filecamp.com/s/i/OyYnNt6bMQMTSWdI
"St. Mary, Our Lady of the Snows Parish, Milford",,,1014,840,30,2394,24,30,42,5,31,1444814,1619473,-174659,248280,1235566,,60431,0,,245,clean,https://aod.filecamp.com/s/i/1EklU5n3lBPj1VrB
"St. Mary, Our Lady Queen of Families Parish, Center Line",Center Line,12,493,1400,12,,17,7,12,3,55,756667,746966,9701,139823,729800,,0,0,,284,clean,https://aod.filecamp.com/s/i/kzguoM3p8Y9GUXGi
"St. Mary Parish, Monroe",,,546,650,21,,40,26,27,10,44,980213,928555,51658,133906,812954,,,0,,245,partial,https://aod.filecamp.com/s/i/X6NBtbBwtlZhopAh
"St. Mary Parish, Port Huron",,,513,750,23,772,16,13,9,13,25,1303611,1282211,21400,633960,633960,84173,78365,0,11,1236,partial,https://aod.filecamp.com/s/i/mCxfP8SDLMqznnGD
"St. Mary Parish, Royal Oak",Royal Oak,9,977,600,54,1235,77,48,51,21,28,3367425,3550432,-183007,,1532500,,0,0,,,partial,https://aod.filecamp.com/s/i/uCKBQioEPkYUJkSU
"St. Mary Parish, St. Clair",,,415,750,18,,14,13,19,1,32,865996,781632,84364,2288143,438196,,,0,,5514,partial,https://aod.filecamp.com/s/i/mwMRgmoBdehYM6OQ
"St. Mary Parish, Wayne",,,575,725,20,950,18,15,15,3,48,1152329,1063294,89035,0,159259,0,0,1003629,,0,clean,https://aod.filecamp.com/s/i/q2M1oDD1t4HrqTxv
"St. Mary Queen of Creation Parish, New Baltimore",,,653,800,27,2471,7,47,26,5,45,879371,925771,-46400,1227269,136297,0,0,0,,1879,clean,https://aod.filecamp.com/s/i/5Wu5OoAg1xThnvoD
"St. Matthew Parish, Detroit",Detroit,11,161,1100,7,,4,0,0,3,11,388048,403685,-15637,,985366,0,0,0,,,partial,https://aod.filecamp.com/s/i/X21P56UCjUhwBOSu
"St. Matthias Parish, Sterling Heights",,,267,650,10,762,35,0,3,0,20,393316,447167,-53851,261205,24479,0,0,0,,978,clean,https://aod.filecamp.com/s/i/yz00215myb1T9owl
"St. Michael Parish, Sterling Heights",Sterling Heights,13,1054,800,33,,62,24,34,3,150,1268579,1069743,198837,523505,194818,110927,0,3701,,497,partial,https://aod.filecamp.com/s/i/UhXSNtv6qrdfpYNq
"St. Michael the Archangel Parish, Livonia",,,1243,1200,26,1295,58,75,58,5,27,4556796,4916446,-359650,,1703897,0,0,0,,,partial,https://aod.filecamp.com/s/i/9ebQeitTHGsiOIJO
"St. Michael the Archangel Parish, Monroe",,,539,601,30,,12,11,19,7,23,781137,722063,59073,1030087,67548,0,0,0,,1911,clean,https://aod.filecamp.com/s/i/c3uZtRcsp0S6vhCH
"St. Moses the Black Parish, Detroit",,,154,300,51,447,5,1,6,0,15,267342,262126,5216,581049,257040,0,0,2453919,,3773,clean,https://aod.filecamp.com/s/i/FqijEfWPbKeskWUV
"St. Owen Parish, Bloomfield Hills",Bloomfield Hills,9,630,900,23,799,13,18,13,0,11,890327,850762,39564,1052180,1088181,0,0,0,,1670,clean,https://aod.filecamp.com/s/i/xlQcC2Cn8G9ywycj
"St. Patrick Parish, White Lake",,,1213,1100,28,3120,73,99,47,7,41,4651290,5149663,-498373,6014675,,,0,0,,4959,clean,https://aod.filecamp.com/s/i/iL34EC7HTqqVBGvO
"St. Paul (Albanian) Parish, Rochester Hills",,,1959,1100,,2887,159,170,126,54,56,2131977,1336454,795523,4452351,380898,0,0,0,,2273,clean,https://aod.filecamp.com/s/i/xG4tjXBVIq9asUEC
"St. Paul of Tarsus Parish, Clinton Township",Clinton Township,12,1426,1000,48,2630,31,25,41,5,54,1375829,1081029,294800,1103409,216953,,41759,0,,774,clean,https://aod.filecamp.com/s/i/JYPtamc72aYoQG8J
"St. Paul on the Lake Parish, Grosse Pointe Farms",Grosse Pointe Farms,11,1301,434,60,2780,101,120,98,62,81,6314414,6227105,87308,3752173,846496,195401,727261,0,,2884,clean,https://aod.filecamp.com/s/i/CV9isvzcrwri3V6a
"St. Perpetua Parish, Waterford",,,556,525,35,851,15,10,10,0,25,570094,603808,-33714,449128,64994,0,0,0,,808,clean,https://aod.filecamp.com/s/i/KHtDL3ZGMz2Lczgx
"St. Peter Claver Parish, Detroit",,,47,0,,65,2,1,0,1,10,102485,96405,6081,57345,39261,0,0,0,,1220,clean,https://aod.filecamp.com/s/i/vKPEWM5TzRCRv27I
"St. Peter Parish, Mount Clemens",Mount Clemens,12,1592,1000,40,,87,73,78,28,93,5740042,5311576,428466,,3786066,,507831,0,,,partial,https://aod.filecamp.com/s/i/9zdPULEwrJ4zFv1s
"St. Pio of Pietrelcina Parish, Roseville",,,392,650,20,,7,4,8,2,20,823125,853658,-30532,795836,795836,0,0,0,,2030,clean,https://aod.filecamp.com/s/i/CmqyZlzGr1XGbfIj
"St. Pius X Parish, Southgate",,,471,620,25,1361,15,25,23,2,38,3079429,2622612,456817,1316137,2002550,1987017,1148481,0,,2794,partial,https://aod.filecamp.com/s/i/fopqh0zoIatJSrbA
"St. Priscilla Parish, Livonia",,,463,550,21,682,12,2,3,2,17,431130,486947,-55817,,,0,0,0,,,partial,https://aod.filecamp.com/s/i/S4Chybz5J7C0Fh5f
"St. Raymond-Our Lady of Good Counsel Parish, Detroit",Detroit,3,103,1000,5,,3,3,6,0,10,461308,530058,-68750,179379,,,24819,289632,,1742,partial,https://aod.filecamp.com/s/i/0as7YHJV4rDCp3eK
"St. Regis Parish, Bloomfield Hills",Bloomfield Hills,9,835,1000,21,1010,27,72,37,5,32,6020443,5610238,410205,2920381,411568,145049,0,0,,3497,partial,https://aod.filecamp.com/s/i/TdJVso748z2NQWyQ
"St. Rene Goupil Parish, Sterling Heights",Sterling Heights,13,985,1100,22,1303,7,17,6,1,29,815147,761319,53828,1440077,84279,,0,0,,1462,clean,https://aod.filecamp.com/s/i/qGqrbwY8BqQzbUcF
"St. Richard Parish, Westland",Westland,6,146,500,29,372,0,0,0,0,15,202660,274237,-71578,245254,32600,0,0,0,,1680,clean,https://aod.filecamp.com/s/i/8VtR5LLqsaDKwYQl
"St. Rita Parish, Holly",,,845,300,70,1000,17,12,16,6,42,412012,409530,2482,363752,363752,0,0,0,,430,partial,https://aod.filecamp.com/s/i/NRFkJlEyFIlzzVra
"St. Roch Parish, Flat Rock",Flat Rock,4,313,450,,571,9,26,15,2,7,507412,481464,25948,110658,206618,,104894,0,,354,clean,https://aod.filecamp.com/s/i/fekijbIsE0xPZH8y
"St. Ronald Parish, Clinton Township",Clinton Township,12,358,550,22,828,10,15,10,3,26,358320,361839,-3519,215838,122570,0,0,0,,603,clean,https://aod.filecamp.com/s/i/Uu2GU04BuvQPQ4wj
"St. Sabina Parish, Dearborn Heights",,,388,420,31,,3,0,0,1,29,611913,715573,-103660,2176717,2177669,0,0,0,,5610,clean,https://aod.filecamp.com/s/i/zm4UYedtB2MyT8Yu
"St. Scholastica Parish, Detroit",Detroit,1,65,1400,5,429,1,0,2,1,5,395669,390638,5032,499017,505494,95397,0,0,,7677,partial,https://aod.filecamp.com/s/i/TOH2wqdDAcxN40lm
"St. Stephen Parish, New Boston",,,614,240,64,543,20,33,30,6,15,1594346,1203761,390585,1414348,367499,12722,0,0,,2303,clean,https://aod.filecamp.com/s/i/5RfiHdtS1GFLxptS
"St. Suzanne-Our Lady Gate of Heaven Parish, Detroit",,,46,500,9,46,0,0,0,0,4,454541,384257,70284,161816,237987,0,0,7037,,3518,partial,https://aod.filecamp.com/s/i/tob9u1490C4LYgWj
"St. Thecla Parish, Clinton Township",,,668,800,21,,19,39,33,7,39,3315040,2750228,564812,1701448,1701448,,581973,0,,2547,partial,https://aod.filecamp.com/s/i/EenWNnWcn7juN4AP
"St. Therese of Lisieux Parish, Shelby Township",Shelby Township,13,1530,975,39,2684,31,63,43,6,78,1803384,1633856,169528,1728822,138775,1207342,224041,0,,1130,clean,https://aod.filecamp.com/s/i/shlLBBhYSuXifn1u
"St. Thomas a'Becket Parish, Canton",,,1875,900,52,,68,68,81,12,64,1733867,1535049,198818,2648185,281867,,0,0,,1412,clean,https://aod.filecamp.com/s/i/iBVZUHJyvavLClZh
"St. Thomas More Parish, Troy",,,441,750,20,,8,10,22,1,31,1023755,1064988,-41233,1553439,660803,39481,,0,,3523,clean,https://aod.filecamp.com/s/i/KHZs0kiWiBZvWLy7
"St. Thomas the Apostle Parish, Garden City",,,662,550,40,1076,16,13,6,0,33,830205,709394,120811,835360,,,0,238692,,1262,partial,https://aod.filecamp.com/s/i/5f3K0iBcxIxTdqx3
"St. Valentine Parish, Redford",,,563,450,42,,25,17,15,4,25,1402263,1585513,-183251,697823,,0,0,0,,1239,partial,https://aod.filecamp.com/s/i/WE6LJNFAcxAElxsI
"St. Veronica Parish, Eastpointe",,,429,500,29,494,18,3,3,8,11,710861,639214,71647,1132895,173522,,0,0,,2641,clean,https://aod.filecamp.com/s/i/sjLbtqnWlTpqLEZr
"St. Vincent Ferrer Parish, Madison Heights",,,233,500,23,721,5,6,3,1,19,741296,876330,-135034,4404778,4433347,0,0,0,,18905,partial,https://aod.filecamp.com/s/i/rjuVTh51RJE70ub7
"St. Vincent Pallotti Parish, Wyandotte",Wyandotte,4,843,860,25,1115,31,20,21,9,109,1291777,1038910,252867,267974,267974,,,0,,318,partial,https://aod.filecamp.com/s/i/AFMQDiVQ7w35WliH
"St. William Parish, Walled Lake",,,809,1235,22,1233,28,30,17,3,33,3320102,3331970,-11868,,699840,,301636,0,,,clean,https://aod.filecamp.com/s/i/G4hewAaAtXZ0AHbh
"Transfiguration Parish, Southfield",Southfield,8,337,300,37,,4,3,3,3,11,2355922,1042124,1313799,2748339,,,0,0,,8155,clean,https://aod.filecamp.com/s/i/aqmP27dimQ4nvRU0
