# SCOPE: Archdiocese of Detroit FY24/25 parish workbooks, all 209 parishes. Source: https://restructuring.aod.org/parish-workbooks (filecamp PDFs, published from 2026-03-04). Facts are the AOD's, cited as the AOD's; this compilation CC BY-NC 4.0. Extracted 2026-07-21. Figures FY24/25 unless noted; blanks = not stated in that workbook.
parish,city,planning_area,weekly_mass_attendance,seats_capacity,capacity_utilization_pct,registered_households,baptisms_2024,first_communions_2024,confirmations_2024,marriages_2024,funerals_2024,total_revenue_fy2425,total_expenses_fy2425,net_income_fy2425,unrestricted_savings,cash,endowments,donor_restricted,payable_loans,priests_assigned,savings_per_weekly_attendee,confidence,workbook_url
"Nativity of Our Lord Parish, Detroit",Detroit,3,124,596,21,,2,0,1,3,7,477624,354532,123092,637697,,2507883,0,0,,5143,clean,https://aod.filecamp.com/s/i/mjpKeH0avxIzQ78B
"Our Lady of Albanians Parish, Southfield",,,507,600,21,,55,32,40,29,9,195972,179586,16386,656294,,0,0,0,,1294,partial,https://aod.filecamp.com/s/i/r98H3u9pgN0FzYd4
"Our Lady of Czestochowa (Polish) Parish, Sterling Heights",Sterling Heights,13,,500,,1432,11,27,25,0,22,633944,756569,-122625,,,0,0,,,,clean,https://aod.filecamp.com/s/i/xufaO8GA91Oz1trP
"Our Lady of Good Counsel Parish, Plymouth",,,2598,1500,35,3409,93,96,78,32,53,7816756,7075841,740915,5100995,,,309398,836832,,1963,clean,https://aod.filecamp.com/s/i/rQfHWBlwgpXx1t1j
"Our Lady of Grace (Vietnamese) Parish, Warren",Warren,12,450,400,38,436,35,14,12,3,13,0,0,0,0,0,,,0,,0,partial,https://aod.filecamp.com/s/i/OcEbwOYB50lNSJHZ
"Our Lady of Guadalupe Parish, Detroit",Detroit,2,2043,1500,34,,64,46,47,10,3,1077278,829180,248098,,1155977,,53636,0,,,partial,https://aod.filecamp.com/s/i/MRVsHMvCrQokFLMY
"Our Lady of Hope Parish, St. Clair Shores",,,369,450,41,1098,15,40,3,1,22,653063,657293,-4230,58060,57899,,0,10170,,157,clean,https://aod.filecamp.com/s/i/bprRa5tBKjMJSdGs
"Our Lady of La Salette Parish, Berkley",Berkley,9,220,950,12,657,12,0,1,1,21,538095,834946,-296851,821561,,,10597,0,,3734,clean,https://aod.filecamp.com/s/i/wRgICw98YX0Kx8jF
"Our Lady of Loretto Parish, Redford",,,329,445,37,381,4,1,5,0,34,711189,789495,-78306,932292,137486,,,0,,2834,clean,https://aod.filecamp.com/s/i/Hf8ablkQDEJ6pgGO
"Our Lady of Mount Carmel Parish, Emmett",,,457,525,44,404,6,10,12,4,27,637525,598228,39297,1049001,118095,0,0,0,,2295,clean,https://aod.filecamp.com/s/i/HUyPWEHQuJUiqMQm
"Our Lady of Mount Carmel Parish, Temperance",Temperance,5,598,675,30,,22,17,23,1,30,744403,604795,139608,1032810,218627,68451,0,0,,1727,clean,https://aod.filecamp.com/s/i/J3EDt6a0CIhSc852
"Our Lady of Refuge Parish, Orchard Lake",,,650,600,36,881,12,49,7,5,20,4163267,4205651,-42384,3433291,613662,183204,0,0,,5282,clean,https://aod.filecamp.com/s/i/JpQ2aAb8XvmZXvaZ
"Our Lady of Sorrows Parish, Farmington",,,1660,833,40,3192,70,108,45,13,72,8645789,8420592,225197,,3682285,,,0,,,clean,https://aod.filecamp.com/s/i/bcgv8mN9jEP034vz
"Our Lady of the Angels Parish, Taylor",Taylor,4,422,450,31,755,2,0,0,1,26,773150,676042,97108,1417023,110115,0,0,0,,3358,clean,https://aod.filecamp.com/s/i/V8qx1mQUTNtidn2p
"Our Lady of the Lakes Parish, Waterford",,,2206,800,55,2930,72,79,52,12,47,5656846,5422157,234690,3761649,989150,36044,-3053,0,,1705,clean,https://aod.filecamp.com/s/i/h818FOZ3us6Fon5c
"Our Lady of the Scapular Parish, Wyandotte",,,355,832,14,,9,7,4,14,38,1202189,890834,311355,,504948,0,0,41927,,,partial,https://aod.filecamp.com/s/i/71NzmwPzkkfLnLEq
"Our Lady of the Woods Parish, Woodhaven",,,940,865,36,,10,32,30,2,18,1075755,996703,79052,798430,147778,0,0,0,,849,clean,https://aod.filecamp.com/s/i/QuH46iagJTT8WSP2
"Our Lady of Victory Parish, Northville",,,2643,770,86,2688,107,109,96,23,70,7690264,6574136,1116128,7031680,343958,0,0,0,,2660,partial,https://aod.filecamp.com/s/i/gmp4YcNCSSPV6GYO
"Our Lady on the River Parish, Marine City",,,692,750,18,1597,17,18,35,7,63,2214982,2005824,209158,1481181,366855,,153563,0,,2140,clean,https://aod.filecamp.com/s/i/jnuPpuJxoaw6x73t
"Our Lady Queen of Apostles Parish, Hamtramck",,,149,820,6,,5,5,0,0,4,696692,659043,37649,923019,486374,,109597,,,6195,clean,https://aod.filecamp.com/s/i/BxiSykUoDyUfYYYU
"Our Lady Queen of Heaven-Good Shepherd Church, Detroit",,,71,800,4,,0,1,0,1,4,135832,249310,-113479,227149,,,223645,0,,3199,partial,https://aod.filecamp.com/s/i/VGmhspHAgy98P6Ls
"Our Lady Queen of Martyrs Parish, Beverly Hills",Beverly Hills,9,729,800,23,1415,51,49,67,9,22,5376528,4434472,942056,,1592261,,695606,0,,,clean,https://aod.filecamp.com/s/i/VjYU5YVRdO9OBCVN
"Our Lady Star of the Sea Parish, Grosse Pointe Woods",Grosse Pointe Woods,11,832,550,38,,17,37,20,3,26,4251641,4575022,-323381,2376216,274513,,0,0,,2856,partial,https://aod.filecamp.com/s/i/UV6KQhipu6szhyHb
"Our Mother of Perpetual Help Parish, Oak Park",,,279,400,35,390,14,0,0,5,31,587608,437541,150067,,610334,,0,0,,,partial,https://aod.filecamp.com/s/i/h8zX80oTgiFT5fHs
"Presentation/Our Lady of Victory Parish, Detroit",,,46,0,,,0,0,1,0,2,139641,156643,-17002,45727,32208,0,0,0,,994,clean,https://aod.filecamp.com/s/i/tKNLR86gHPHQzUx3
"Prince of Peace Parish, West Bloomfield",,,902,700,,599,5,7,14,1,15,1122205,951770,170435,1565522,1565522,380006,0,0,,1736,clean,https://aod.filecamp.com/s/i/h43mPttJs0AhX8YA
"Resurrection Parish, Canton",,7,401,350,38,,18,8,10,0,11,488954,414503,74451,,479926,,5,0,,,partial,https://aod.filecamp.com/s/i/xB5yrIz0vXt07mKA
"Sacred Heart Mission, Brown City",,,129,250,52,,,,,,,236656,125884,110772,563536,705864,0,0,0,,4368,partial,https://aod.filecamp.com/s/i/kWrU6OphY0ZeMehY
"Sacred Heart Parish, Auburn Hills",,,678,670,34,388,7,6,7,6,18,726032,692224,33808,581133,581133,0,0,0,,857,clean,https://aod.filecamp.com/s/i/LCi42DkDa21McBsE
"Sacred Heart Parish, Dearborn",,,588,650,30,1114,32,32,19,7,44,2605582,2731910,-126328,5447219,,,0,0,,9264,clean,https://aod.filecamp.com/s/i/mbywxYznGSm6buUA
"Sacred Heart Parish, Detroit",,,337,800,14,710,23,8,0,0,25,816241,825715,-9474,133632,154009,0,0,0,,397,clean,https://aod.filecamp.com/s/i/JI9K9LQFC3hEKnCp
"Sacred Heart Parish, Grosse Ile",,,359,650,28,775,7,12,21,2,21,1375959,804972,570987,796096,89601,,454962,0,,2218,clean,https://aod.filecamp.com/s/i/5Bjw3ZtHMunHyqdU
"Sacred Heart Parish, Imlay City",Imlay City,,559,300,93,,5,24,0,3,12,317716,338237,-20521,349395,45163,,14745,0,,625,clean,https://aod.filecamp.com/s/i/yqu2FQj1BlT0ITUC
"Sacred Heart Parish, Yale",Yale,14,185,280,66,,4,4,4,1,12,314846,388740,-73894,792401,71407,,0,0,,4283,partial,https://aod.filecamp.com/s/i/UGm9BSb7yw7iEscz
"San Francesco (Italian) Parish, Clinton Township",Clinton Township,12,386,350,28,223,9,3,1,4,30,399142,407126,-7984,2420617,,0,0,0,,6271,partial,https://aod.filecamp.com/s/i/L6YBT6rBaYhwaHVF
"SS. Cyril and Methodius (Slovak) Parish, Sterling Heights",,,842,809,21,1148,12,31,23,6,16,961173,1138447,-177274,2173499,2232451,,,0,,2581,clean,https://aod.filecamp.com/s/i/PE1dR6RlhYtB3FUt
"SS. John and Paul Parish, Washington Township",,,521,450,29,1271,12,18,13,2,26,964597,840435,124162,844558,844558,,-24365,65864,,1621,clean,https://aod.filecamp.com/s/i/0KHYVQL1ezWoM9Io
"SS. Peter and Paul (Jesuit) Parish, Detroit",,,163,700,23,237,19,1,0,34,4,607367,613180,-5813,268592,704021,0,0,0,,1648,clean,https://aod.filecamp.com/s/i/KzT645j5tFrIQJoM
"SS. Peter and Paul Parish, North Branch",North Branch,15,327,400,41,327,9,14,17,4,26,420508,398397,22112,355220,90728,,0,0,,1086,clean,https://aod.filecamp.com/s/i/SGZ1SrkuaGRsKhJK
"SS. Peter and Paul (Westside-Polish) Parish, Detroit",Detroit,1,223,1200,5,287,3,0,1,0,13,940538,925783,14754,279623,54449,0,0,0,,1254,partial,https://aod.filecamp.com/s/i/OavRRrki0uFsiL0c
"St. Aidan Parish, Livonia",Livonia,7,793,650,31,,34,12,17,4,45,1330433,1087821,242612,478291,,738710,5888,0,,603,clean,https://aod.filecamp.com/s/i/u434zhr8uKzh2ZrI
"St. Alfred Parish, Taylor",,,565,600,47,,18,25,25,1,18,678042,481314,196729,2110787,,,8197,0,,3736,clean,https://aod.filecamp.com/s/i/uECoCjLDhiKCdcdP
"St. Aloysius Parish, Detroit",Detroit,3,208,1300,8,,6,0,0,17,1,725731,593645,132087,2156733,2198147,,0,0,,10369,clean,https://aod.filecamp.com/s/i/nCqEYL6QaxmfTUK6
"St. Aloysius Parish, Romulus",Romulus,6,160,300,27,,3,0,0,0,3,229160,238568,-9408,168526,,0,0,0,,1053,partial,https://aod.filecamp.com/s/i/y48RwCfLVeQrNa4Y
"St. Alphonsus-St. Clement Parish, Dearborn",,,243,800,15,506,8,1,0,4,38,486705,986776,-500070,656154,715664,633462,54895,0,,2700,partial,https://aod.filecamp.com/s/i/XLkOZYJi2weYhnyi
"St. Ambrose Parish, Grosse Pointe Park",Grosse Pointe Park,11,412,800,17,777,20,16,21,10,16,1673812,1666626,7186,726204,726204,0,0,,,1763,clean,https://aod.filecamp.com/s/i/osPMmWFGbFB74e4p
"St. Anastasia Parish, Troy",,,1935,780,41,2947,27,56,52,1,52,1969722,1590590,379132,933355,,0,0,0,,482,clean,https://aod.filecamp.com/s/i/N944yZkkkgIji5kc
"St. André Bessette Parish, Ecorse",Ecorse,4,719,650,37,,37,40,29,7,21,630433,840602,-210169,126519,1100967,0,0,0,,176,partial,https://aod.filecamp.com/s/i/mY7b2GjeWUxsymvT
"St. Andrew Kim (Korean) Parish, Northville",Northville,8,,450,39,208,26,24,13,0,6,279148,47639,231509,713597,,,,0,,,partial,https://aod.filecamp.com/s/i/s2v69JcXIuQkqd3n
"St. Andrew Parish, Rochester",,,2062,1250,33,,81,161,139,11,80,2929457,2239294,690163,827068,450724,,,171818,,401,partial,https://aod.filecamp.com/s/i/L4nklfwEUX9myJfx
"St. Anne Parish, Monroe",Monroe,5,183,150,122,,0,4,0,1,6,421606,364133,57473,432604,122452,0,0,0,,2364,clean,https://aod.filecamp.com/s/i/WYEkFv2jzWhZr7Lj
"St. Anne Parish, Ortonville",,,351,435,27,770,35,14,8,0,20,623860,519089,104771,518672,132451,0,0,0,,1478,clean,https://aod.filecamp.com/s/i/5x5V8uTFT4PP5zCN
"St. Anne Parish, Warren",Warren,12,506,1200,14,1653,19,28,21,3,20,2474988,2799344,-324356,1585493,644668,0,0,0,,3133,clean,https://aod.filecamp.com/s/i/0B93LUNIKWFVmpRv
"St. Anselm Parish, Dearborn Heights",,,409,325,42,,23,16,11,1,15,1461463,1602427,-140964,,963286,,0,0,,,partial,https://aod.filecamp.com/s/i/UCerc0eBmvTH9mDt
"St. Anthony Parish, Belleville",,,322,650,17,334,3,0,2,4,17,460695,476221,-15525,80187,184131,0,0,0,,249,partial,https://aod.filecamp.com/s/i/xD7uUWThhnBKA0ch
"St. Anthony Parish, Temperance",,,286,240,40,,11,5,7,5,3,507783,504074,3708,63878,63878,0,0,0,,223,partial,https://aod.filecamp.com/s/i/s83WwTKpavN7yrfH
"St. Augustine and St. Monica Parish, Detroit",,,115,500,23,237,10,4,8,0,4,510107,549018,-38911,600563,129018,0,0,0,,5222,clean,https://aod.filecamp.com/s/i/V8TMPXUjCwJkTzYb
"St. Augustine Parish, Richmond",,,535,400,45,906,27,39,31,11,42,2128107,1863506,264601,987981,,,12210,0,,1847,partial,https://aod.filecamp.com/s/i/aBLIAeQfkJ3ZdmY5
"St. Barbara (Polish) Parish, Dearborn",,,461,750,20,,16,23,5,5,8,740432,520136,220296,568434,275373,0,0,0,,1233,clean,https://aod.filecamp.com/s/i/ngpq23tD1QWdkXUl
"St. Basil the Great Parish, Eastpointe",Eastpointe,11,301,550,18,222,4,7,10,1,10,608822,843139,-234318,180521,216765,158554,12612,0,,600,clean,https://aod.filecamp.com/s/i/26o6eYeijmwe6G1U
"St. Benedict Parish, Waterford",,,386,350,37,,3,9,14,3,17,1063019,1099604,-36585,155498,70383,0,0,18440,,403,clean,https://aod.filecamp.com/s/i/Yr40sCX1v0l8KGe1
"St. Blase Parish, Sterling Heights",,,626,900,23,1261,10,11,6,3,85,897942,1059484,-161542,2358351,2358351,0,0,0,,3767,clean,https://aod.filecamp.com/s/i/acI5PT682xWv7ANT
"St. Charles Borromeo Parish, Detroit",,,131,400,33,,2,0,0,1,8,409425,479629,-70204,604517,,0,0,0,,4615,clean,https://aod.filecamp.com/s/i/JyAMAN4u2mHsc7BS
"St. Charles Borromeo Parish, Newport",,,517,400,43,517,35,42,35,4,22,2546248,1941285,604963,2280836,172025,504378,204730,280352,,4412,clean,https://aod.filecamp.com/s/i/6ZzaY8c6Gg8in5gp
"St. Charles Lwanga Church, Detroit",Detroit,1,98,1500,7,212,5,3,3,0,8,250280,285561,-35281,28898,13921,0,0,521331,,295,clean,https://aod.filecamp.com/s/i/z1W0aQ2lsB6KN0xZ
"St. Christopher Parish, Marysville",,,585,453,43,,6,22,16,5,21,665065,789678,-124613,49570,318900,0,0,0,,85,clean,https://aod.filecamp.com/s/i/JXaKmm9IO7UivYnp
