# scope: final; corpus: Draugas 1909-2007; generated: 2026-07-19; lane: draugas-parish-registry-1909-2007; gazetteer config-as-truth; +county,+geo_disambiguator (additive); NOT a unified-build ingest input
parish_key,country,city,state,titular_lt,titular_en_key,city_stems,titular_stems,c83_row,cand_idx,status,founded,closed,source,notes,county,geo_disambiguator
st-george-shenandoah-pa,US,Shenandoah,PA,Šv. Jurgio,st. george,shenandoah|senando|shenando|senadoriu,jurgi,39,0,demolished,1891,,canonical-83,,Schuylkill,
st-casimir-pittston-pa,US,Pittston,PA,Šv. Kazimiero,st. casimir,pittston,kazimier,40,20,merged,1890,2008,canonical-83,,Luzerne,
holy-trinity-wilkes-barre-pa,US,Wilkes-Barre,PA,Švč. Trejybės,holy trinity,wilkes-barre|wilkes|vilkes,trejyb,41,24,demolished,1893,2015,canonical-83,,Luzerne,
annunciation-kingston-pa,US,Kingston,PA,Šv. Marijos Apreiškimo,annunciation,kingston,apreisk|apreiszk|apsireisk|apsireiszk,42,22,demolished,1902,,canonical-83,,Luzerne,near Wilkes-Barre
st-vincent-de-paul-esplen-pa,US,Esplen,PA,Šv. Vincento Pauliečio,st. vincent de paul,esplen,vincent,43,37,demolished,1903,,canonical-83,,Allegheny,Pittsburgh West End neighborhood
st-casimir-pittsburgh-pa,US,Pittsburgh,PA,Šv. Kazimiero,st. casimir,pittsburgh|pitsburg|pittsburg,kazimier,44,36,closed,1893,1992,canonical-83,founded from cand-137,Allegheny,
st-joseph-scranton-pa,US,Scranton,PA,Šv. Juozapo,st. joseph,scranton|skranton,juozap,45,18,closed,1895,2009,canonical-83,founded from cand-137,Lackawanna,
st-michael-scranton-pa,US,Scranton,PA,Šv. Mykolo,st. michael,scranton|skranton,mykol|mikol,46,19,closed,1942,,canonical-83,founded from cand-137,Lackawanna,
st-john-the-baptist-coaldale-pa,US,Coaldale,PA,Šv. Jono,st. john the baptist,coaldale,jono,47,6,closed,1914,2009,canonical-83,,Schuylkill,near Tamaqua
immaculate-conception-archbald-pa,US,Archbald,PA,Nekaltojo Prasidėjimo-Aušros Vartų,immaculate conception,archbald,prasidejim|nekalt,48,,demolished,1901,,canonical-83,,Lackawanna,
holy-cross-mount-carmel-pa,US,Mount Carmel,PA,Šv. Kryžiaus,holy cross,mount carmel|mt. carmel|mt carmel,kryzi,49,11,closed,1892,1992,canonical-83,,Northumberland,
