# SCOPE: AOD parish workbook index; captured 2026-07-19 from https://restructuring.aod.org/parish-workbooks (in-browser); FY24/25 workbooks published from 2026-03-04; one row per parish PDF at https://aod.filecamp.com/s/i/<id>
parish,filecamp_id
"St. Aidan Parish, Livonia",u434zhr8uKzh2ZrI
"St. Colette Parish, Livonia",ZfjclGRJWnmVMt62
"St. Edith Parish, Livonia",qbduLF1PiUColLWY
"St. Genevieve-St. Maurice Parish, Livonia",juktfPdJHsVcWN61
"St. John Neumann Parish, Canton",ZZvCogv0Zoa2jHUW
"St. John XXIII Parish, Redford",0V3PK6tD1WdiXBw4
"St. Kenneth Parish, Plymouth",MhfAQHauvZgfXCHU
"St. Michael the Archangel Parish, Livonia",9ebQeitTHGsiOIJO
"St. Priscilla Parish, Livonia",S4Chybz5J7C0Fh5f
"St. Thomas a'Becket Parish, Canton",iBVZUHJyvavLClZh
"St. Valentine Parish, Redford",WE6LJNFAcxAElxsI
"Divine Providence (Lithuanian) Parish, Southfield",Cz1cVR5GPmBIEMgf
"Holy Family Parish, Novi",luORTUzW20Lfvr1l
"Our Lady of Albanians Parish, Southfield",r98H3u9pgN0FzYd4
"Our Lady of Sorrows Parish, Farmington",bcgv8mN9jEP034vz
"Prince of Peace Parish, West Bloomfield",h43mPttJs0AhX8YA
"St. Andrew Kim (Korean) Parish, Northville",s2v69JcXIuQkqd3n
"St. Fabian Parish, Farmington Hills",WxRdxzwrtVnHkWyP
"St. Gerald Parish, Farmington",LwYgsjxazdGos3Rk
"St. James Parish, Novi",Seir0SnhlzgvsT3h
"St. Joseph Parish, South Lyon",14KOpUKEzaU8DusO
"St. Paul (Albanian) Parish, Rochester Hills",xG4tjXBVIq9asUEC
"St. William Parish, Walled Lake",G4hewAaAtXZ0AHbh
"Transfiguration Parish, Southfield",aqmP27dimQ4nvRU0
"Christ Our Light Parish, Troy",ehLQAWTCdppIjXUD
"Guardian Angels Parish, Clawson",JtdwzItkkf63dNUo
"Holy Name Parish, Birmingham",lQKwLgJYgiboj7u0
"National Shrine of the Little Flower Basilica, Royal Oak",D8H7A0uj8pxcERhy
"Our Lady of La Salette Parish, Berkley",wRgICw98YX0Kx8jF
"Our Lady Queen of Martyrs Parish, Beverly Hills",VjYU5YVRdO9OBCVN
"Our Mother of Perpetual Help Parish, Oak Park",h8zX80oTgiFT5fHs
"St. Elizabeth Ann Seton Parish, Troy",15lXQyVnTOKQqN04
"St. Justin-St. Mary Magdalen Parish, Hazel Park",Mo3KDVOuvXLCoIBE
"St. Lucy (Croatian) Parish, Troy",AU1Oj2y0658DXGXQ
"St. Mary Parish, Royal Oak",uCKBQioEPkYUJkSU
"St. Owen Parish, Bloomfield Hills",xlQcC2Cn8G9ywycj
"St. Regis Parish, Bloomfield Hills",TdJVso748z2NQWyQ
"St. Thomas More Parish, Troy",KHZs0kiWiBZvWLy7
"St. Vincent Ferrer Parish, Madison Heights",rjuVTh51RJE70ub7
"Christ the Redeemer Parish, Lake Orion",xv8XZ09c5a2qOLBO
"Church of the Holy Spirit Parish, Highland",BSAsz3qFQuP1lq18
"Our Lady of Refuge Parish, Orchard Lake",JpQ2aAb8XvmZXvaZ
"Our Lady of the Lakes Parish, Waterford",h818FOZ3us6Fon5c
"Sacred Heart Parish, Auburn Hills",LCi42DkDa21McBsE
"St. Andrew Parish, Rochester",L4nklfwEUX9myJfx
"St. Anne Parish, Ortonville",5x5V8uTFT4PP5zCN
"St. Benedict Parish, Waterford",Yr40sCX1v0l8KGe1
"St. Damien of Molokai Parish, Pontiac",tfHskbBk0rlXVfVO
"St. Daniel Parish, Clarkston",ksbDavxww9cQYEVV
"St. Hugo of the Hills Parish, Bloomfield Hills",z7rERlKRM3NbFI7K
"St. Irenaeus Parish, Rochester Hills",hTEgOX2FlyNpFoMh
"St. John Fisher Chapel University Parish, Auburn Hills",82xUTdVZwpfFSmFz
"St. Joseph Parish, Lake Orion",sTqfvRL40pjKyOX0
"St. Mary of the Hills Parish, Rochester Hills",0Sfv4yKMb1uuI2U5
"St. Mary, Our Lady of the Snows Parish, Milford",1EklU5n3lBPj1VrB
"St. Patrick Parish, White Lake",iL34EC7HTqqVBGvO
"St. Perpetua Parish, Waterford",KHtDL3ZGMz2Lczgx
"St. Rita Parish, Holly",NRFkJlEyFIlzzVra
"Holy Innocents-St. Barnabas Parish, Roseville",CnNeiaHHRB6tGv2P
"Our Lady of Hope Parish, St. Clair Shores",bprRa5tBKjMJSdGs
"Our Lady Star of the Sea Parish, Grosse Pointe Woods",UV6KQhipu6szhyHb
"St. Ambrose Parish, Grosse Pointe Park",osPMmWFGbFB74e4p
"St. Basil the Great Parish, Eastpointe",26o6eYeijmwe6G1U
"St. Clare of Montefalco Parish, Grosse Pointe Park",TumvBnsj1O9bc53A
"St. Isaac Jogues Parish, St. Clair Shores",lzJRbYWginFThQZl
"St. Joan of Arc Parish, St. Clair Shores",w2NaOlNGmaxtJ8f8
"St. Lucy Parish, St. Clair Shores",zxRccXk2Ma5O6pyl
"St. Margaret of Scotland Parish, St. Clair Shores",wcRoZrPZqo0DyjTK
"St. Matthew Parish, Detroit",X21P56UCjUhwBOSu
